Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M05	2,01
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M04	2,00
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M03	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M02	1,98
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M01	1,99
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M12	1,97
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M11	2,09
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M10	2,09
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M09	2,09
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M08	2,42
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M07	2,24
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M06	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M05	2,00
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M04	1,97
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M03	1,99
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M02	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2003M01	2,04
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M12	2,19
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M11	2,39
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M10	2,39
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M09	2,43
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M08	2,66
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M07	2,55
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M06	2,32
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M05	2,32
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M04	2,29
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M03	2,32
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M02	2,14
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2002M01	2,05
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M12	2,09
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M11	2,15
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M10	2,22
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M09	2,35
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M08	2,70
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M07	2,51
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M06	2,20
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M05	2,18
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M04	2,24
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M03	2,18
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M02	2,06
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2001M01	2,17
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2022M08	3,72
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2022M07	3,94
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2022M06	2,92
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2022M05	3,36
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2022M04	2,30
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2022M03	1,85
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2022M02	1,75
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2022M01	1,49
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M12	1,61
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M11	1,60
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M10	1,85
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M09	3,84
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M08	3,59
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M07	3,94
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M06	3,11
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M05	1,88
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M04	2,07
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M03	1,85
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M02	2,26
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2021M01	2,20
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M12	.
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M11	1,98
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M10	1,90
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M09	4,21
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M08	4,00
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M07	3,92
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M06	3,14
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M05	.
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M04	0,00
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M03	1,52
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M02	1,66
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2020M01	1,78
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M12	1,91
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M11	1,85
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M10	1,75
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M09	3,50
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M08	3,76
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M07	4,13
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M06	3,10
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M05	2,01
