Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M09	203.179
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M08	172.552
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M07	160.147
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M06	172.121
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M05	167.848
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M04	101.943
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M03	39.157
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M02	28.754
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M01	24.828
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M12	29.248
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M11	39.986
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M10	135.116
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M09	190.246
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M08	176.566
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M07	149.827
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M06	168.635
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M05	161.431
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M04	83.403
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M03	44.159
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M02	24.315
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2016M01	20.486
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M12	27.454
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M11	36.967
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M10	121.910
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M09	173.654
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M08	171.355
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M07	153.172
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M06	161.539
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M05	151.743
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M04	81.877
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M03	36.897
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M02	21.465
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2015M01	19.695
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M12	23.560
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M11	30.700
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M10	100.843
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M09	153.019
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M08	151.107
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M07	122.714
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M06	130.931
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M05	133.714
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M04	71.011
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M03	26.479
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M02	18.179
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2014M01	16.207
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M12	19.527
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M11	26.677
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M10	81.785
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M09	122.999
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M08	125.507
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M07	102.933
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M06	114.337
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M05	107.480
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M04	58.292
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M03	34.389
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M02	19.090
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2013M01	15.890
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M12	22.566
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M11	25.488
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M10	73.689
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M09	113.770
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M08	114.037
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M07	88.763
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M06	87.989
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M05	92.498
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M04	57.924
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M03	28.623
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M02	19.718
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2012M01	17.688
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M12	19.958
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M11	25.147
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M10	68.945
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M09	102.556
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M08	115.487
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M07	92.280
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M06	94.352
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M05	85.954
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M04	54.829
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M03	27.610
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M02	19.199
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2011M01	16.289
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M12	22.758
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M11	26.297
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M10	75.055
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M09	102.155
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M08	111.030
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M07	95.953
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M06	87.775
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M05	91.029
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M04	53.729
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M03	28.352
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M02	23.366
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2010M01	17.306
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M12	23.604
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M11	27.055
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M10	69.495
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M09	83.460
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M08	89.208
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M07	77.905
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M06	76.733
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M05	75.190
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M04	47.184
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M03	26.695
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M02	25.126
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2009M01	20.615
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M12	24.374
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M11	30.082
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M10	63.188
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M09	84.236
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M08	92.906
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M07	80.528
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M06	79.605
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M05	86.352
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M04	56.891
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M03	38.381
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M02	29.706
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2008M01	27.043
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M12	29.402
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M11	35.728
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M10	76.623
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M09	89.593
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M08	102.940
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M07	85.287
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M06	87.262
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M05	80.021
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M04	59.545
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M03	34.004
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M02	29.110
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2007M01	22.191
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M12	29.890
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M11	28.609
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M10	61.369
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M09	81.536
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M08	95.480
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M07	79.455
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M06	72.335
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M05	69.669
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M04	56.099
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M03	28.351
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M02	27.239
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2006M01	24.410
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M12	30.622
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M11	33.974
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M10	60.491
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M09	76.562
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M08	94.104
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M07	78.224
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M06	73.130
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M05	62.221
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M04	46.791
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M03	29.215
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M02	21.723
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2005M01	19.574
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M12	24.298
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M11	27.273
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M10	58.544
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M09	76.224
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M08	89.248
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M07	73.944
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M06	69.306
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M05	60.474
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M04	39.052
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M03	23.490
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M02	27.881
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2004M01	17.117
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M12	23.618
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M11	28.164
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M10	46.137
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M09	74.183
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M08	88.235
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M07	62.536
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M06	57.548
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M05	53.264
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M04	42.114
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M03	24.806
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M02	15.886
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2003M01	15.409
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M12	22.947
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M11	20.574
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M10	40.162
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M09	60.543
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M08	78.887
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M07	56.728
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M06	53.667
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M05	48.252
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M04	38.022
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M03	24.406
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M02	17.863
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2002M01	11.998
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M12	20.967
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M11	21.212
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M10	40.615
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M09	54.881
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M08	72.248
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M07	59.357
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M06	52.104
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M05	42.735
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M04	34.462
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M03	23.163
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M02	24.422
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2001M01	10.642
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2000M12	26.437
